"Location";"Province_State_country";"Section";"OffPaleolong";"OffPaleolat"
"Russia_Golyi_Cape";"Russia";"Golyi_Cape";111,9156;35,3315
"Russia_Ayax";"Russia";"Ayax";111,6024;35,5163
"Russia_Tchernyschew_Bay";"Russia";"Tchernyschew_Bay";111,574;35,4453
"Russia_Kotelny";"Russia";"Kotelny";5,615;65,2865
"Russia_Verkhoyansk";"Russia";"Verkhoyansk";23,4671;66,0276
"Russia_Nuucha-Urege";"Russia";"Nuucha-Urege";22,5769;63,31
"Russia_Istannach";"Russia";"Istannach";21,8788;64,2575
"Russia_Taiion-Uiiolach";"Russia";"Taiion-Uiiolach";23,3663;64,3541
"Russia_Nyykabyt";"Russia";"Nyykabyt";23,1299;64,5415
"Japan_Taho_W01";"Japan";"Taho_W01";145;0
"Japan_Tahokamigumi_2";"Japan";"Tahokamigumi_2";145;0
"Japan_Taho_E01";"Japan";"Taho_E01";145;0
"Japan_Taho_E02";"Japan";"Taho_E02";145;0
"Japan_Taho_E03";"Japan";"Taho_E03";145;0
"Japan_Taho_C02";"Japan";"Taho_C02";145;0
"Japan_Oritate";"Japan";"Oritate";145;0
"Japan_Kamura1";"Japan";"Kamura1";145;0
"Japan_Enoura";"Japan";"Enoura";145;0
"Japan_Ajiro_Island";"Japan";"Ajiro_Island";145;0
"Japan_Kurusu";"Japan";"Kurusu";145;0
"Japan_Gujo-Hachiman";"Japan";"Gujo-Hachiman";145;0
"Japan_Ryozen";"Japan";"Ryozen";145;0
"Japan_Mino_NF195";"Japan";"Mino_NF195";145;0
"Japan_Mino_NF1212R";"Japan";"Mino_NF1212R";145;0
"Japan_Akkamori-2";"Japan";"Akkamori-2";145;0
"Japan_Ubara";"Japan";"Ubara";145;0
"Japan_Hozukyo";"Japan";"Hozukyo";145;0
"Japan_Ashitani";"Japan";"Ashitani";145;0
"Japan_Ryugadake";"Japan";"Ryugadake";145;0
"Japan_Tahokamigumi_1";"Japan";"Tahokamigumi_1";145;0
"Japan_Kamura2";"Japan";"Kamura2";145;0
"Japan_Kii";"Japan";"Kii";145;0
"Japan_Kaizawa";"Japan";"Kaizawa";145;0
"Japan_Ogama";"Japan";"Ogama";145;0
"Japan_Tenjinmaru";"Japan";"Tenjinmaru";145;0
"India_Khreuh";"India";"Khreuh";60,3289;-41,2858
"India_Mandakpal";"India";"Mandakpal";60,3274;-41,3231
"India_Lam";"India";"Lam";60,4174;-41,3381
"India_Guryul_Ravine1";"India";"Guryul_Ravine1";60,2941;-41,1719
"India_Guryul_Ravine2";"India";"Guryul_Ravine2";60,3027;-41,1739
"India_Guryul_Ravine3";"India";"Guryul_Ravine3";60,2995;-41,1721
"India_Mud";"India";"Mud";60,4586;-44,5118
"India_Mud_M04";"India";"Mud_M04";60,4586;-44,5118
"India_Muth_M03";"India";"Muth_M03";60,5038;-44,5574
"India_Guling";"India";"Guling";60,6244;-44,5315
"India_Lingti";"India";"Lingti";60,7348;-44,499
"India_Losar";"India";"Losar";60,7301;-44,0161
"India_Gechang";"India";"Gechang";60,567;-44,4347
"India_Lalung";"India";"Lalung";60,7462;-44,5012
"India_Khar";"India";"Khar";60,5985;-44,5372
"China_Yiwagou";"China";"Yiwagou";82,8151;23,9685
"China_Pojue";"China";"Pojue";98,539;5,505
"China_Dala";"China";"Dala";98,7342;5,2453
"China_Ganxi";"China";"Ganxi";97,1203;12,7612
"China_Jianshi";"China";"Jianshi";97,0256;13,202
"China_Jianzishan";"China";"Jianzishan";96,7808;12,5709
"China_Chibi";"China";"Chibi";100,557;14,8204
"China_Zhijin";"China";"Zhijin";96,5856;8,008
"China_Mingtang";"China";"Mingtang";97,7369;7,6558
"China_Changtanhe";"China";"Changtanhe";98,6841;13,0688
"China_Gaohua";"China";"Gaohua";98,7609;13,0727
"China_Daijiagou";"China";"Daijiagou";95,3186;10,723
"China_Bianyang";"China";"Bianyang";97,7112;7,6672
"China_Wan_Tuo";"China";"Wan_Tuo";98,3523;6,8991
"China_Wuzhuan";"China";"Wuzhuan";98,9867;6,9877
"China_Guandao";"China";"Guandao";97,7409;7,6501
