"Location";"Province_State_country";"Section";"OffPaleolong";"OffPaleolat"
"Canada_Lindstroem_Creek";"Canada";"Lindstroem_Creek";-1,4572;41,1522
"Canada_Spath_Creek2";"Canada";"Spath_Creek2";-1,6204;41,0571
"Canada_Spath_Creek1";"Canada";"Spath_Creek1";-1,6084;41,0247
"Canada_Diener_Creek";"Canada";"Diener_Creek";-1,4863;41,0185
"Canada_Sverdrup";"Canada";"Sverdrup";-2,8436;38,7825
"Canada_Smith_Creek";"Canada";"Smith_Creek";-1,5239;40,7699
"Canada_Otto_Fiord";"Canada";"Otto_Fiord";-0,7421;40,8218
"Canada_West_Blind_Fiord";"Canada";"West_Blind_Fiord";-3,3303;38,658
"Canada_Jones_Lake";"Canada";"Jones_Lake";-34,0416;37,0245
"Canada_Jones_Lake_20b";"Canada";"Jones_Lake_20b";-34,0614;37,0243
